"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.839375007E-3,4.013857730E-3,7.838817503E-2,2.052629972E-1,2.197583105E-1
1.180937502E-2,-5.850029625E-3,8.810050073E-2,1.217676812E-1,1.504104028E-1
2.177937501E-2,2.030197129E-2,6.776922028E-2,3.784651262E-1,3.850203747E-1
3.174937502E-2,2.123678758E-1,1.769429583E-2,2.319251311E-1,3.149642348E-1
4.171937500E-2,1.448553757E-1,3.292702351E-2,8.199375093E-2,1.696768810E-1
5.168937502E-2,1.015568534E-1,-1.215188000E-2,2.412748289E-1,2.620591646E-1
6.165837502E-2,2.294063699E-2,1.908929987E-2,1.263343567E-1,1.298115706E-1
7.162837501E-2,7.350637123E-2,4.642221908E-2,8.497758508E-3,8.735228065E-2
8.159837502E-2,-4.397361986E-2,5.263700989E-2,1.246445113E-1,1.422694214E-1
9.156837501E-2,-1.104981232E-2,7.391538396E-2,-1.031413758E-1,1.273723900E-1
1.015383750E-1,6.210422762E-2,1.137022147E-1,-7.682188869E-2,1.506211516E-1
1.115083750E-1,5.263754893E-3,9.839436857E-2,-7.345272303E-2,1.229002091E-1
1.214783750E-1,-5.331536913E-2,9.020773675E-2,-2.411052597E-1,2.628910622E-1
1.314483750E-1,-4.115060242E-2,8.835961461E-2,-9.717838526E-2,1.376387741E-1
1.414183750E-1,-1.621219112E-2,5.405535255E-2,-2.390493786E-1,2.456204831E-1
1.513883750E-1,-1.926050909E-2,5.193730831E-2,-2.859048718E-1,2.912216457E-1
1.613583750E-1,-3.954716798E-2,4.132974649E-2,-9.138554871E-2,1.078120817E-1
1.713283750E-1,-5.001969567E-2,3.020228497E-2,-1.654557377E-1,1.754700804E-1
1.812973750E-1,4.344026243E-2,8.557001766E-2,-1.195855004E-1,1.533296326E-1
1.912673750E-1,7.577848960E-2,1.642641300E-1,4.022299647E-2,1.853185725E-1
2.012373750E-1,2.109956805E-2,1.149545787E-1,2.802102685E-2,1.201870412E-1
2.112073750E-1,2.957784802E-2,1.038835519E-1,-1.761415243E-2,1.094390233E-1
2.211773750E-1,4.706602950E-2,7.293010072E-2,3.484396738E-1,3.590880352E-1
2.311473750E-1,1.148057305E-1,8.456868198E-2,3.288591027E-2,1.463342093E-1
2.411173750E-1,8.789753839E-2,9.323547984E-2,1.770647997E-1,2.185652654E-1
2.510873750E-1,9.301074576E-2,3.624668883E-2,2.368186659E-1,2.569978634E-1
2.610573750E-1,5.116379477E-2,5.666886608E-2,9.612120867E-2,1.227533341E-1
2.710273750E-1,5.631932136E-2,-4.114479632E-2,1.882078385E-1,2.007160948E-1
